premise_code,premise,address,premise_type,state,district
15653,99 SPEED MART (JLN TIONG NAM),"NO. 2-1 (GROUND & MEZZANINE FLOOR),JALAN TIONG NAM,",Pasar Mini,W.P. Kuala Lumpur,Bukit Bintang
20999,99 SPEED MART (KAMPUNG SEPAKAT),"NO. 3 & 5 (GF),JALAN SRI SEPAKAT UTAMA,KAMPUNG SEPAKAT",Pasar Mini,Pahang,Rompin
20997,99 SPEED MART (TAMAN PUTERI INDAH UTAMA),"NO. 07 & 08(GF),TAMAN PUTERI INDAH UTAMA,KUALA ROMPIN",Pasar Mini,Pahang,Rompin
20996,99 SPEED MART (TAMAN WAWASAN 2),"NO. 10 (GF),JALAN WAWASAN MAJU 2,TAMAN WAWASAN 2",Pasar Mini,Pahang,Rompin
21926,99 SPEED MART 2888 (JH) PEKAN NENAS,"NO. 2 & 3 (G), JALAN PERMATA 1,PUSAT PERDAGANGAN PEKAN NENAS,PEKAN NENAS",Pasar Mini,Johor,Pontian
22063,99 SPEED MART SDN BHD,"A-G-3A & A-G-5, BLOK A, NO 2, JALAN PJU 1A/41B,,PUSAT DAGANGAN NZX, ARA JAYA, 47301 PETALING JAYA,,",Pasar Mini,Selangor,Petaling Jaya
18487,99 SPEED MART SDN BHD ( PETALING),"TAMAN DENAI PUCHONG, NO 11 & 13 (G),JLN DENAI PUCHONG, TAMAN DENAI PUCHONG,47100 PUCHONG, SELANGOR",Pasar Mini,Selangor,Petaling
18540,99 SPEED MART SDN BHD ( TAMAN PEKAN BARU ),"LOT 4297, JALAN MERBUK,TAMAN PEKAN BARU,34200, PARIT BUNTAR",Pasar Mini,Perak,Kerian
18118,99 SPEED MART SDN BHD (CAWANGAN SIMPANG),"NO.655 (GROUND FLOOR), JALAN TAMAN KOTA JAYA LUAR, TAMAN KOTA JAYA, 34700, SIMPANG, PERAK,TAMAN KOTA JAYA LUAR, TAMAN KOTA JAYA, 34700, SIMPANG, PERAK,",Pasar Mini,Perak,"Larut, Matang & Selama"
21041,99 SPEED MART SDN BHD (KETAPANG PEKAN),"NO 6 & 7,LRG KETAPANG MUALIM 1,TAMAN KETAPANG MUALIM",Pasar Mini,Pahang,Pekan
21055,99 SPEED MART SDN BHD (TAMAN SHAHZAN IM),"NO B20 & B 22(G),LRG SHAHZAN IM3,TMN SHAHZAN INDERA MAHKOTA",Pasar Mini,Pahang,Kuantan
21717,99 SPEED MART SDN BHD PUSAT PERNIAGAAN KETARI,"NO. TB-P1 & TB-P2 (G), PUSAT PENIAGAAN KETARI,,BENTONG,",Pasar Mini,Pahang,Bentong
21724,99 SPEED MART SDN BHD TAMAN WAWASAN RAUB,"NO. 42 & 43 (G),,TAMAN WAWASAN,",Pasar Mini,Pahang,Raub
21459,99 SPEED MART SDN. BHD.,"NO. 4& 6 (G), JALAN AKASIA INDAH 1,,TAMAN AKASIA INDAH,BANDAR BERA",Pasar Mini,Pahang,Bera
21496,99 SPEED MART SDN. BHD. (BANDAR BARU KUALA LIPIS),"NO. K-19 (G), LORONG BBKL 2/1/2,,BANDAR BARU KULA LIPIS,KUALA LIPIS",Pasar Mini,Pahang,Lipis
21493,99 SPEED MART SDN. BHD. (JLN TEMIN),"NO. 7 & 8 (G), LORONG SP,,JLN TEMIN,",Pasar Mini,Pahang,Jerantut
21499,99 SPEED MART SDN. BHD. (PERUMAHAN PERAMU BARU),"NO.B6 (G), JLN PERAMU BARU 1,,PERUMAHAN PERAMU BARU,,",Pasar Mini,Pahang,Kuantan
21495,99 SPEED MART SDN. BHD. (PP LIPIS JAYA),"NO. 17 & 18 (G), JALAN LIPIS JAYA 2,,PUSAT PERNIAGAAN LIPIS JAYA,KUALA LIPIS",Pasar Mini,Pahang,Lipis
21494,99 SPEED MART SDN. BHD. (PUSAT PERNIAGAAN IMPIAN),"NO. 11 & 12 (G), JALAN IMPIAN 1,,PUSAT PERNIAGAAN IMPIAN,,KUALA LIPIS",Pasar Mini,Pahang,Lipis
21492,99 SPEED MART SDN. BHD. (TAMAN FERI INDAH),"NO. 5 & 7 (G), JALAN JERANTUT FERI,,TAMAN FERI INDAH,,",Pasar Mini,Pahang,Jerantut
21460,99 SPEED MART SDN. BHD. (TAMAN INDUSTRI SRI BUNTAR),"NO. 27 & 29 (G), JALAN 1,,TAMAN INDUSTRI SRI BUNTAR,,BANDAR BERA",Pasar Mini,Pahang,Bera
21491,99 SPEED MART SDN. BHD. (TAMAN INTAN),"NO. S-12 (G),,TAMAN INTAN,,",Pasar Mini,Pahang,Jerantut
21509,99 SPEED MART SDN. BHD. TAMAN SETIA JASA,"NO: 15&17 (G), JLN SJ 1 OFF JALAN MARAN,,TAMAN SETIA JASA,,",Pasar Mini,Pahang,Temerloh
21501,99 SPEED MART SDN. BHD. TMN BAHAGIA TEMERLOH,"NO: 28 (G), JALAN BAHAGIA 31,,TAMAN BAHAGIA,",Pasar Mini,Pahang,Temerloh
21502,99 SPEED MART SDN. BHD. TMN BKT BENDERA,"NO: 40&42 (G), JALAN BENDERA MAHKOTA,,TAMAN BUKIT BENDERA,,",Pasar Mini,Pahang,Temerloh
21503,99 SPEED MART SDN. BHD. TMN BKT SEMANTAN,"NO: 14&15 (G), JLN SEMANTAN BARU 2,,TMN BKT SEMANTAN,,",Pasar Mini,Pahang,Temerloh
21507,99 SPEED MART SDN. BHD. TMN RIMBA,"NO: 75&77 (GF), JALAN ANGSANA,,TAMAN RIMBA,,MENTAKAB,",Pasar Mini,Pahang,Temerloh
21506,99 SPEED MART SDN. BHD. TMN TEMERLOH JAYA,"NO: 96 & 98 (G), JLN TEMERLOH JAYA,,TMN TEMERLOH JAYA,,",Pasar Mini,Pahang,Temerloh
21504,99 SPEED MART SDN. BHD.(BD JENGKA SEJAHTERA),"NO: 11 & 13 (G), JLN BDJS 1,,BLOK DAGANGAN JENGKA SEJAHTERA, BDR TUN RAZAK,,JENGKA",Pasar Mini,Pahang,Maran
21505,99 SPEED MART SDN. BHD.STAR CITY,"NO: 23&25 (G), JLN STAR CITY 1,,STAR CITY,,MENTAKAB",Pasar Mini,Pahang,Temerloh
21941,99 SPEED MART TAMAN SEJAHTERA,"NO. 3 & 4, GROUND FLOOR, JALAN SEJAHTERA UTAMA,TAMAN SEJAHTERA,ENDAU",Pasar Mini,Johor,Mersing
21939,99 SPEED MART TAMAN SIAPU INDAH,"GROUND FLOOR, NO. 2 & 3, JALAN INDAH 1,TAMAN SIAPU INDAH,",Pasar Mini,Johor,Mersing
22155,99 SPEED MART TMN JELEMPOK JAYA,"3396 (PL) TAMAN JELEMPOK JAYA,,NO. 9 & 11, GROUND FLOOR, JLN 1,,TAMAN JELEMPOK JAYA",Pasar Mini,Perlis,Arau
18134,99 SPEEDMART,"JALAN INDAH 9,TAMAN SAYONG INDAH,81440 BANDAR TENGGARA",Pasar Mini,Johor,Kota Tinggi
21818,99 SPEEDMART,"NO:1003 LOT 13453, BUKIT BLOSSOM RASAH,SEREMBAN,",Pasar Mini,Negeri Sembilan,Seremban
21834,99 SPEEDMART,"No. 9 & 10 (GF), JALAN PPS 1, PUSAT PERNIAGAAN SENALING,KUALA PILAH,",Pasar Mini,Negeri Sembilan,Kuala Pilah
18246,99 SPEEDMART ( KEPONG BARU 1 ),"NO.17 & NO.9, GROUND FLOOR,JALAN AMBONG KIRI 2,KEPONG BARU,",Pasar Mini,W.P. Kuala Lumpur,Kepong
20919,99 SPEEDMART (DESA TEBRAU),"NO 9 & 11 (G) JALAN HARMONIUM 35/1,TAMAN DESA TEBRAU,81100 JOHOR BAHRU",Pasar Mini,Johor,Johor Bahru
18711,99 SPEEDMART (KL HAPPY GARDEN),"NO.519 (G), JALAN RIANG 12,TAMAN GEMBIRA,",Pasar Mini,W.P. Kuala Lumpur,Seputeh
22016,'99 SPEEDMART 2336 (PG) TAMAN GAMELAN INDAH,"NO. 12 & 12A,JALAN GAMELAN INDAH 1,TAMAN GAMELAN INDAH, SUNGAI JAWI",Pasar Mini,Pulau Pinang,Seberang Perai Selatan
22031,99 SPEEDMART 2368 (PG) TAMAN TAMPOI,"NO. 2836 & 2837,JALAN KAMPUNG BARU,TAMAN TAMPOI, BUKIT MERTAJAM",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22030,99 SPEEDMART 2403 (PG) TAMAN CHAI LENG,"NO. 11A & 15,LEBUH KURAU 5,TAMAN CHAI LENG, PERAI",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22032,99 SPEEDMART 2422 (PG) TAMAN KOTA PERMAI,"NO.  76 & 78,LEBUH KOTA PERMAI 1,TAMAN KOTA PERMAI, BUKIT MERTAJAM",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22024,'99 SPEEDMART 2466 (PG) TAMAN SERI BERAPIT,"NO. 15 & 17,JALAN SERI BERAPIT,TAMAN SERI BERAPIT, BUKIT MERTAJAM",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22017,99 SPEEDMART 2504 (PG) TAMAN BUKIT PANCHOR,"NO. 140 & 142,LRG BUKIT PANCHOR 1,TAMAN BUKIT PANCHOR, NIBONG TEBAL",Pasar Mini,Pulau Pinang,Seberang Perai Selatan
22034,99 SPEEDMART 2510 (PG) TAMAN USAHANIAGA,"NO. 2, 4 & 6,LORONG USAHANIAGA 1,TAMAN USAHANIAGA, BUKIT MERTAJAM",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22020,99 SPEEDMART 2834 (PG) TAMAN TAMBUN INDAH,"NO. 39, 41 & 43,JALAN BUKIT TAMBUN,TAMAN TAMBUN INDAH, SIMPANG AMPAT",Pasar Mini,Pulau Pinang,Seberang Perai Selatan
22018,'99 SPEEDMART 2883 (PG) TAMAN NIBONG TEBAL JAYA,"NO. 10 & 12, 14,JALAN SUNGAI DAUN 1,TAMAN NIBONG TEBAL JAYA, NIBONG TEBAL",Pasar Mini,Pulau Pinang,Seberang Perai Selatan
22033,99 SPEEDMART 2895 (PG) OREN BM,"NO.  G-06 & G-07,OREN BM,JALAN SONG BAN KHENG, BUKIT MERTAJAM",Pasar Mini,Pulau Pinang,Seberang Perai Tengah
22019,99 SPEEDMART 3035 (PG) TAMAN SUNGAI JAWI,"NO. 101 & 103,JALAN SUNGAI JAWI,TAMAN SUNGAI JAWI, SUNGAI JAWI",Pasar Mini,Pulau Pinang,Seberang Perai Selatan
18100,99 SPEEDMART AMPANG,"99 SPEED MART SDN BHD(1841), PK PP AMPANGNO 64(G),JALAN AMPANG JAYA 1,PUSAT PERNIAGAAN AMPANG, IPOH, PERAK",Pasar Mini,Perak,Kinta
20972,99 SPEEDMART BANDAR BARU,"NO 132 & 134 (G),JALAN INTAN 5,BANDAR BARU TELUK INTAN",Pasar Mini,Perak,Hilir Perak
20931,99 SPEEDMART BANDAR BARU ENDAU,"NO 4117 (GROUND FLOOR) JALAN PERISAI 1,JALAN DATO MOHD ALI,BANDAR BARU, 86900 ENDAU",Pasar Mini,Johor,Mersing
21384,99 SPEEDMART BANDAR BARU SERI MANJUNG,"NO 40 & 41(G), BANDAR BARU SERI MANJUNG, FASA 1C4,,SERI MANJUNG,",Pasar Mini,Perak,Manjung
22070,99 SPEEDMART BANDAR DARULAMAN JAYA,"NO 63 & 64 (G), BANDAR DARULAMAN JAYA,,JITRA KEDAH,",Pasar Mini,Kedah,Kubang Pasu
20976,99 SPEEDMART BANDAR UNIVERSITI,"GF NO 182, JALAN PP9,BANDAR UNIVERSITI LAKEVILLE,SERI ISKANDAR",Pasar Mini,Perak,Perak Tengah
20991,99 SPEEDMART BERCHAM,"NO 222 & 224,JALAN BERCHAM,TAMAN RIA",Pasar Mini,Perak,Kinta
21385,99 SPEEDMART BIDOR,"NO 35 (G),,JALAN PANGGUNG WAYANG,BIDOR",Pasar Mini,Perak,Batang Padang
21396,99 SPEEDMART BIDOR SENTRAL,"NO 13&14 (G), JALAN BIDOR CENTRAL 1,PUSAT PERDAGANGAN BIDOR SENTRAL,BIDOR",Pasar Mini,Perak,Batang Padang
21430,99 SPEEDMART CHANGKAT JONG,"99 SPEEDMART SDN BHD, NO 54-A & 54-B (G), JALAN CHANGKAT JONG,,TELUK INTAN,",Pasar Mini,Perak,Hilir Perak
21440,99 SPEEDMART DANAU KOTA,"NO. 12A & 16 (G), JALAN DANAU NIAGA 1,TAMAN DANAU KOTA,",Pasar Mini,W.P. Kuala Lumpur,Wangsa Maju
18186,99 SPEEDMART GREENTOWN,"GROUND FLOOR, NO: 16 & 18,PERSIARAN GREENTOWN 10,GREENTOWN BUSINESS CENTRE, IPOH, PERAK",Pasar Mini,Perak,Kinta
21431,99 SPEEDMART JALAN PASAR,"99 SPEEDMART SDN BHD, NO 91&93 (G), CRYSTAL GULF BUSINESS CENTRE,,JALAN PASAR, TELUK INTAN,",Pasar Mini,Perak,Hilir Perak
18117,99 SPEEDMART JALAN TUN SABAN,"NO. 24 & 26 (GROUND FLOOR),JALAN TUN SABAN,33300 GERIK, PERAK",Pasar Mini,Perak,Hulu Perak
20929,99 SPEEDMART JEMALUANG,"NO 6156 & 6157 (GROUND FLOOR),JALAN MERSING,86810 JEMALUANG",Pasar Mini,Johor,Mersing
18103,99 SPEEDMART JERAM,"99 SPEEDMART SDN BHD(1779), PK JERAM NO. 10 & 11 (G),JALAN HARMONI, TAMAN HARMONI,31850 JERAM, PERAK",Pasar Mini,Perak,Kampar
20959,99 SPEEDMART JLN DATO SAGOR,"NO 2 (G),,JALAN DATO SAGOR,OFF JALAN TAIPING",Pasar Mini,Perak,Kuala Kangsar
21294,99 SPEEDMART KOMPLEKS PERNIAGAAN PELANGI,"No: 19 & 20 (Ground Floor Susuran Peremba 2,,Jalan Kuala Kedah,  Alor Setar, Kedah,",Pasar Mini,Kedah,Kota Setar
21330,99 SPEEDMART KOSMOPLEKS,"NO E011 (GROUND FLOOR JALAN 6, KOSMOPLEKS,,BANDAR BARU SALAK TINGGI, 43900 SEPANG,",Pasar Mini,Selangor,Sepang
18102,99 SPEEDMART LAPANGAN PERDANA (BOTANI),"GROUND FLOOR, NO. 1 & 3,LALUAN LAPANGAN PERDANA 1,PANORAMA LAPANGAN PERDANA, IPOH, PERAK",Pasar Mini,Perak,Kinta
20964,99 SPEEDMART LENGGONG,"17 & 19 (GROUND FLOOR),JALAN L/8 UTAMA,PUSAT PERNIAGAAN LENGGONG",Pasar Mini,Perak,Hulu Perak
22156,99 SPEEDMART PAUH,"(3411) PL MEDAN UNIVERSITI,NO 74 & 75, JLN MU 1,,MEDAN UNIVERSITI",Pasar Mini,Perlis,Arau
21718,99 SPEEDMART PEKAN JITRA DUA,"NO 108,(G), JALAN PEKAN JITRA 2,,PEKAN JITRA 2,JITRA, KEDAH",Pasar Mini,Kedah,Kubang Pasu
21370,99 SPEEDMART PENGKALAN HULU,"NO 5 & 6 (GROUND FLOOR),JALAN TULIP JAYA,TAMAN TULIP JAYA, PENGKALAN HULU",Pasar Mini,Perak,Hulu Perak
21382,99 SPEEDMART PUSAT BANDAR,"NO 30 & 31 (G), PUSAT BANDAR SERI MANJUNG,,SERI MANJUNG,",Pasar Mini,Perak,Manjung
21713,99 SPEEDMART PUSAT BANDAR BARAT,"NO 64 & 65(G),,PUSAT BANDAR BARAT,JITRA, KEDAH",Pasar Mini,Kedah,Kubang Pasu
20990,99 SPEEDMART RTC GOPENG,"NO 47 & 49 (GROUND FLOOR), JALAN MEWAH 1,PUSAT PERNIAGAAN GOPENG,",Pasar Mini,Perak,Kinta
21331,99 SPEEDMART SALAK TINGGI,"NO 31 & 33, JALAN ST 1C/6, MEDAN 88, 27 JALAN ST 1C/6,,BANDAR BARU SALAK TINGGI, 43900 SEPANG,",Pasar Mini,Selangor,Sepang
18701,99 SPEEDMART SDN BHD,"NO 1 (G), JALAN INTAN SETIA 1,TAMAN INTAN SETIA 2,35900 TANJUNG MALIM, PERAK.",Pasar Mini,Perak,Muallim
18702,99 SPEEDMART SDN BHD,"NO (2189) PK TAMAN SIMPANG 3, NO 1&2 (G), LORONG SIMPANG 31,TAMAN SIMPANG 3,36200 SELEKOH, PERAK.",Pasar Mini,Perak,Bagan Datuk
21028,99 SPEEDMART SDN BHD (BENTONG PRIMA),"NO. P69 (G),JLN PRIMA 2,PUSAT KOMERSIAL BENTONG PRIMA",Pasar Mini,Pahang,Bentong
21033,99 SPEEDMART SDN BHD (MAJU INDAH),"GF NO 1 & 2,LORONG MAJU INDAH 1,",Pasar Mini,Pahang,Raub
21027,99 SPEEDMART SDN BHD (MEDAN DESA PERTIWI),"NO. P6 & P7 (G),MEDAN DESA PERTIWI,JLN TRAS",Pasar Mini,Pahang,Bentong
21023,99 SPEEDMART SDN BHD (MENTAKAB),"NO. 3 (G),,JALAN HAJI KASSIM,,",Pasar Mini,Pahang,Temerloh
21030,99 SPEEDMART SDN BHD (TAMAN AMALINA LESTARI),"NO 2 & 3(GROUND FLOOR),JALAN LESTARI 1,TAMAN AMALINA LESTARI",Pasar Mini,Pahang,Raub
21005,99 SPEEDMART SDN BHD (TAMAN AWAH INDAH),"NO. 14 & 15 (G), LRG AWAH INDAH 1, TAMAN AWAH INDAH,,KG AWAH, TEMERLOH,",Pasar Mini,Pahang,Temerloh
21032,99 SPEEDMART SDN BHD (TAMAN GEMILANG),"NO. P14 A GF,TAMAN GEMILANG,",Pasar Mini,Pahang,Bentong
20925,99 SPEEDMART SEGAMAT,"NO 4 & 5 (GROUND FLOOR) JALAN PUTRA 1/5,BANDAR PUTRA,85000 SEGAMAT",Pasar Mini,Johor,Segamat
21307,99 SPEEDMART SEK 16 SHAH ALAM,"NO 13 & 15 (G), JLN CETAK 16/3,,SEKSYEN 16, 40200 SHAH ALAM,",Pasar Mini,Selangor,Petaling
21308,99 SPEEDMART SEK 2 SHAH ALAM,"NO 13 & 15, TINGKAT BAWAH JALAN BUNGA MELOR 2/18,,SEKSYEN 2, 40000 SHAH ALAM,",Pasar Mini,Selangor,Petaling
21306,99 SPEEDMART SEK 7 SHAH ALAM,"NO QG 43 & QG 45 (G), JLN PLUMBUM U7/U,,SEKSYEN 7, 40000 SHAH ALAM,",Pasar Mini,Selangor,Petaling
20797,99 SPEEDMART SEKSYEN 23,"NO: 89 & 91 (G), JLN PELABUR B 23/B,SEKSYEN 23, 40300 SHAH ALAM,",Pasar Mini,Selangor,Petaling
21179,99 SPEEDMART SEMANTAN TEMERLOH,"NO 16 & 18,JLN SUDIRMAN 4,BDR SRI SEMANTAN",Pasar Mini,Pahang,Temerloh
17886,99 SPEEDMART SEPANG,"LOT 1 & 2 (G),JALAN BESAR PEKAN SEPANG,43900 SEPANG, SELANGOR",Pasar Mini,Selangor,Sepang
18123,99 SPEEDMART SERI MANJUNG,"(519537-X)(1997) PK SERI MANJUNG,NO. 66 & 67 (G), PERSIARAN 2B, FASA 2B,32040 SERI MANJUNG,PERAK.",Pasar Mini,Perak,Manjung
21400,99 SPEEDMART SG GEDONG,"GROUND FLOOR, NO 5&6 JALAN BESAR, KAMPUNG SG GEDONG,BAGAN SERAI,",Pasar Mini,Perak,Kerian
21390,99 SPEEDMART SLIM RIVER,"NO 4&5 (G), JALAN BANDAR BARU FASA 3,BANDAR BARU FASA 3,SLIM RIVER",Pasar Mini,Perak,Muallim
21323,99 SPEEDMART SUNGAI BESAR,"1651 PANCHANG BEDENA, PT 7438 & PT 7439 (G),,PUSAT PERNIAGAAN PANCHANG BEDENA, JALAN PANCHANG BEDENA, 45300 SUNGAI BESAR,",Pasar Mini,Selangor,Sabak Bernam
20708,99 SPEEDMART SUNGKAI PERDANA,"Ground Floor, No: 17 & 18,Jln Sungkai Perdana 1,Taman Sungkai Perdana",Pasar Mini,Perak,Batang Padang
18357,99 SPEEDMART TAMAN CANTIK,"JALAN SUNGAI JELOK,TAMAN CANTIK,43000 KAJANG, SELANGOR.",Pasar Mini,Selangor,Hulu Langat
21115,99 SPEEDMART TAMAN HAJI ARIFFIN,"NO 158 & 159 GROUND FLOOR,JALAN PERSIARAN HAJI ARIFFIN 3,TAMAN HAJI ARIFFIN",Pasar Mini,Johor,Mersing
21427,99 SPEEDMART TAMAN INDAH JAYA,"99 SPEEDMART SDN BHD, NO 9&10 (G), JALAN TERATAI J4/8,,TAMAN INDAH JAYA, TELUK INTAN,",Pasar Mini,Perak,Hilir Perak
21414,99 SPEEDMART TAMAN INDAH TAIPING,"NO 5&6 (G), TAMAN INDAH,,SIMPANG,",Pasar Mini,Perak,"Larut, Matang & Selama"
21425,99 SPEEDMART TAMAN INTANOVA,"99 SPEEDMART SDN BHD, NO 1 (G), PERSIARAN INTANOVA,,TAMAN INTANOVA, TELUK INTAN,",Pasar Mini,Perak,Hilir Perak
21708,99 SPEEDMART TAMAN JELUTONG,"NO 18 & 19(G), LORONG JELUTONG 1/1,,TAMAN JELUTONG,CHANGLUN, KEDAH",Pasar Mini,Kedah,Kubang Pasu
18447,99 SPEEDMART TAMAN KERAMAT PERMAI,"NO.2 (G), JALAN AU 1A/4C,TAMAN KERAMAT PERMAI,",Pasar Mini,W.P. Kuala Lumpur,Setiawangsa
21372,99 SPEEDMART TAMAN KLEBANG RIA,"GROUND FLOOR, NO 7 & 9,  JALAN KLEBANG RIA 2,,TAMAN KLEBANG RIA,",Pasar Mini,Perak,Kinta
21416,99 SPEEDMART TAMAN LAGENDA,"NO 19&21 (G), LORONG 1, TAMAN LAGENDA,,SIMPANG,",Pasar Mini,Perak,"Larut, Matang & Selama"
